GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,AIUXE001,AIUXE002,AIUXE003,AIUXE004,AIUXE005,AIUXE006,AIUXE007,AIUXE008,AIUXE009,AIUXE010,NAME_M,AIUXM001,AIUXM002,AIUXM003,AIUXM004,AIUXM005,AIUXM006,AIUXM007,AIUXM008,AIUXM009,AIUXM010
"G06047","2018",,,"California","06",,,,,,,,,,,,,"47",,,,,"Congressional District 47 (116th Congress), California",710853,363923,54180,4766,164178,5794,86152,31860,7577,24283,"Congressional District 47 (116th Congress), California",11183,11528,5806,2061,10584,4134,8730,3796,1906,3750
"G06048","2018",,,"California","06",,,,,,,,,,,,,"48",,,,,"Congressional District 48 (116th Congress), California",719486,459456,12424,2217,146976,2095,63570,32748,7557,25191,"Congressional District 48 (116th Congress), California",7055,11223,2918,872,9356,1567,7137,5014,2289,4463
"G06049","2018",,,"California","06",,,,,,,,,,,,,"49",,,,,"Congressional District 49 (116th Congress), California",731513,572343,21682,3291,58447,2834,34788,38128,6498,31630,"Congressional District 49 (116th Congress), California",10614,10438,5706,1704,7624,1654,6344,6353,2041,5553
"G06050","2018",,,"California","06",,,,,,,,,,,,,"50",,,,,"Congressional District 50 (116th Congress), California",751551,600933,17983,8873,37033,4939,44964,36826,5574,31252,"Congressional District 50 (116th Congress), California",11954,12721,3799,1704,5057,3271,7577,4509,2101,3982
"G06051","2018",,,"California","06",,,,,,,,,,,,,"51",,,,,"Congressional District 51 (116th Congress), California",747510,503283,51898,4579,59053,3125,99723,25849,10389,15460,"Congressional District 51 (116th Congress), California",16768,17460,5893,1382,6335,1659,7652,3785,3137,2502
"G06052","2018",,,"California","06",,,,,,,,,,,,,"52",,,,,"Congressional District 52 (116th Congress), California",767172,505924,27211,3142,153271,2180,28270,47174,8077,39097,"Congressional District 52 (116th Congress), California",16888,13134,4416,1291,9621,1204,5520,5582,2898,4918
"G06053","2018",,,"California","06",,,,,,,,,,,,,"53",,,,,"Congressional District 53 (116th Congress), California",796701,513966,63941,2703,114377,4094,47671,49949,7921,42028,"Congressional District 53 (116th Congress), California",18807,17705,6409,855,10020,1455,7255,6340,2267,6159
"G08001","2018",,,"Colorado","08",,,,,,,,,,,,,"01",,,,,"Congressional District 1 (116th Congress), Colorado",841497,658995,65739,7236,29889,1253,46922,31463,4509,26954,"Congressional District 1 (116th Congress), Colorado",5300,8455,3519,2105,2084,320,7636,3918,1462,3761
"G08002","2018",,,"Colorado","08",,,,,,,,,,,,,"02",,,,,"Congressional District 2 (116th Congress), Colorado",812357,733767,7708,3519,25225,265,13391,28482,3771,24711,"Congressional District 2 (116th Congress), Colorado",5440,6480,1489,1185,1908,165,3814,3155,1333,2598
"G08003","2018",,,"Colorado","08",,,,,,,,,,,,,"03",,,,,"Congressional District 3 (116th Congress), Colorado",753595,675510,7103,17765,6997,160,30019,16041,2185,13856,"Congressional District 3 (116th Congress), Colorado",4571,7229,1458,2440,1275,170,4923,2936,884,2860
